world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
1,Harvard University,1,100,100,100,100,100,100,72.4,2005
1,Harvard University,1,100,100,100,100,100,100,73.6,2006
1,Harvard University,1,100,100,100,100,100,100,73.0,2007
1,Harvard University,1,100,100,100,100,100,100,74.1,2008
1,Harvard University,1,100,100,100,100,100,100,74.8,2009
1,Harvard University,1,100,100,100,100,100,100,69.2,2010
1,Harvard University,1,100,100,100,100,100,100,70.5,2011
1,Harvard University,1,100,100,100,100,100,100,71.1,2012
1,Harvard University,1,100,100,100,100,100,100,72.5,2013
1,Harvard University,1,100,100,100,100,100,100,75.3,2014
1,Harvard University,1,100,100,100,100,100,100,76.6,2015
2,University of Cambridge,1,73.6,99.8,93.4,53.3,56.6,70.9,66.9,2005
2,University of Cambridge,1,72.6,96.3,91.5,53.8,59.5,67.1,66.5,2006
4,University of Cambridge,1,71.6,93.6,91.5,54,58.2,65.4,65.1,2007
4,University of Cambridge,1,70.4,90.3,91.5,53.6,56,64.1,65,2008
4,University of Cambridge,1,70.2,89.4,91.5,53.8,53.9,65.4,65.5,2009
5,University of Cambridge,1,69.6,88.5,92.6,53.9,54.3,65.7,53.1,2010
5,University of Cambridge,1,70,87.1,96.7,54.5,54.1,65.1,52,2011
5,University of Cambridge,1,69.8,80.3,97.2,54.6,55,65.9,52.1,2012
5,University of Cambridge,1,69.6,79.1,97.3,54.6,54,66.2,53.3,2013
5,University of Cambridge,1,69.2,79.1,96.6,50.8,56.2,66.5,55.2,2014
5,University of Cambridge,1,68.8,77.1,96.6,50.8,55.6,66.4,55.8,2015
3,Stanford University,2,73.4,41.1,72.2,88.5,70.9,72.3,65,2005
3,Stanford University,2,72.5,39.7,70.7,88.4,70,71.4,65.3,2006
2,Stanford University,2,73.7,42,78.7,86.1,69.6,70.3,65.7,2007
2,Stanford University,2,73.7,40,78.7,86.6,68.9,71.6,66.9,2008
2,Stanford University,2,73.1,39,78.7,87.1,67.3,70.1,66.9,2009
3,Stanford University,3,72.1,40.2,78.4,87.6,68.4,69.7,50.1,2010
2,Stanford University,2,72.6,41.2,78.4,88.4,70.2,70.3,48.6,2011
2,Stanford University,2,72.8,38,79.7,88.9,71.6,69.6,49.2,2012
2,Stanford University,2,72.6,40,80.7,88.9,68.7,69.4,50.4,2013
2,Stanford University,2,72.1,41.8,82.8,79.8,71.1,70.9,51.9,2014
2,Stanford University,2,73.3,40.7,89.6,80.1,70.1,70.6,53.8,2015
5,MIT,4,70.1,74,80.6,66.7,65.8,64.3,53,2005
5,MIT,4,69.7,72.9,80.6,66.6,66.4,62.2,53.6,2006
5,MIT,4,70,74.6,80.6,65.9,68.4,61.7,53.4,2007
5,MIT,4,69.6,71,80.6,65.6,68.7,61.6,53.9,2008
5,MIT,4,69.5,71,80.6,65.7,67.9,62,54.4,2009
4,MIT,4,71.4,70.5,80.3,66.8,70.1,61.4,64.5,2010
3,MIT,3,72,72.8,81.9,67.9,70.6,60.6,63.7,2011
3,MIT,3,71.8,69,83.2,68.2,69.2,61.6,64.1,2012
4,MIT,4,71.1,68,81.3,68.2,69.7,60.1,65,2013
3,MIT,3,70.5,68.4,80.7,60.6,73.6,61.5,67.1,2014
3,MIT,3,70.4,68.2,80.7,60.6,73.1,61.1,68,2015
6,California Institute of Technology,5,67.1,59.2,68.6,59.8,65.8,52.5,100,2005
6,California Institute of Technology,5,66,57.1,69.1,59.1,64.5,50.1,100,2006
6,California Institute of Technology,5,66.4,55.5,69.1,58.4,67.6,50.3,100,2007
6,California Institute of Technology,5,65.4,52.8,69.1,57.4,66.1,49.7,100,2008
6,California Institute of Technology,5,64.8,51.5,69.1,57.1,66.2,47.7,100,2009
6,California Institute of Technology,5,64.4,50.3,68.8,56.7,64.8,46.9,100,2010
6,California Institute of Technology,5,64.7,52.6,68.8,57.3,65,46.5,100,2011
6,California Institute of Technology,5,64.1,48.5,68.8,57.4,64.8,46.2,100,2012
6,California Institute of Technology,5,62.9,47.8,67.2,57.4,62,45.2,100,2013
7,California Institute of Technology,6,60.5,48.5,66.7,49.3,60,44.9,100,2014
7,California Institute of Technology,6,59.6,49.5,66.7,49.3,56.4,44,100,2015
7,Columbia University,6,62.3,79.4,60.6,56.1,54.2,69.5,45.4,2005
7,Columbia University,6,61.8,78.2,59.4,56,53.6,69.8,45.8,2006
7,Columbia University,6,63.2,76,65.7,56.5,54.3,69.6,46.4,2007
7,Columbia University,6,62.5,72.4,65.7,56.5,52.3,70.5,46.6,2008
7,Columbia University,6,61.7,70.6,67.7,55.7,49.1,69.6,46.5,2009
